event_id,event_name,event_url,event_date,event_time,event_genre,event_subgenre,min_price,max_price,ticket_limit,venue_id,venue_name,venue_city,venue_address,venue_state,venue_latitude,venue_longitude,venue_market,main_attraction
G5dIZbGmrneXN,Houston Texans Training Camp: Day 2,https://www.ticketmaster.com/houston-texans-training-camp-day-2-houston-texas-07-24-2024/event/3A0060CB9EA82FA3,2024-07-24,08:00:00,Football,NFL,,,,KovZpZAEdFeA,NRG Stadium,Houston,One NRG Park,Texas,29.684885,-95.410875,Houston and More,Houston Texans
vvG1fZbu5AApiS,Training Camp Session 2,https://www.ticketmaster.com/training-camp-session-2-berea-ohio-08-06-2024/event/050060D2C5156B33,2024-08-06,16:15:00,Football,NFL,,,,KovZ917AIOU,CrossCountry Mortgage Campus,Berea,76 Lou Groza Blvd,Ohio,41.38199,-81.84976," Youngstown & More""",Cleveland Browns
vv17FZbaGkM3t7O5,Philadelphia Eagles vs. Atlanta Falcons,https://www.ticketmaster.com/philadelphia-eagles-vs-atlanta-falcons-philadelphia-pennsylvania-09-16-2024/event/0200609DD2A4480B,2024-09-16,20:15:00,Football,NFL,130.0,785.0,4.0,KovZpa2yme,Lincoln Financial Field,Philadelphia,One Lincoln Financial Way,Pennsylvania,39.900706,-75.167406,Philadelphia,Philadelphia Eagles
1AeFZbFGknkuOMb,Jacksonville Jaguars vs. Green Bay Packers,https://www.ticketmaster.com/jacksonville-jaguars-vs-green-bay-packers-jacksonville-florida-10-27-2024/event/2200608A86360DD8,2024-10-27,13:00:00,Football,NFL,128.0,888.0,4.0,KovZpZAEkJ7A,EverBank Stadium ,Jacksonville,1 EverBank Stadium Drive,Florida,30.323887,-81.637357,Jacksonville and More,Jacksonville Jaguars
vvG1fZbu560pwG,Training Camp Session 3,https://www.ticketmaster.com/training-camp-session-3-berea-ohio-08-08-2024/event/050060D2C7916C8C,2024-08-08,14:00:00,Football,NFL,,,,KovZ917AIOU,CrossCountry Mortgage Campus,Berea,76 Lou Groza Blvd,Ohio,41.38199,-81.84976," Youngstown & More""",Cleveland Browns
vvG1iZb5H-9NzK,Imagine Dragons: LOOM WORLD TOUR,https://www.ticketmaster.com/imagine-dragons-loom-world-tour-hollywood-california-10-27-2024/event/0B0060BF215E3E13,2024-10-27,19:00:00,Rock,Pop,59.5,299.5,4.0,KovZpZAFFvJA,Hollywood Bowl,Hollywood,2301 N Highland Ave,California,34.11177334,-118.33851469,Los Angeles,Imagine Dragons
G5vVZ9whG2VUb,New York Yankees vs. Texas Rangers,https://www.ticketmaster.com/new-york-yankees-vs-texas-rangers-bronx-new-york-08-11-2024/event/1D005F26CC3F4D98,2024-08-11,13:35:00,Baseball,MLB,25.0,390.0,19.0,KovZpZA6t77A,Yankee Stadium,Bronx,1 East 161st Street,New York,40.8285237,-73.9276264,New York/Tri-State Area,New York Yankees
vvG1fZbu5FnpyM,Training Camp Session 4,https://www.ticketmaster.com/training-camp-session-4-berea-ohio-08-12-2024/event/050060D2C8A96E77,2024-08-12,14:00:00,Football,NFL,,,,KovZ917AIOU,CrossCountry Mortgage Campus,Berea,76 Lou Groza Blvd,Ohio,41.38199,-81.84976," Youngstown & More""",Cleveland Browns
1ApZkvPGkey1N84,Pittsburgh Steelers vs. Kansas City Chiefs,https://www.ticketmaster.com/pittsburgh-steelers-vs-kansas-city-chiefs-pittsburgh-pennsylvania-12-25-2024/event/16006065B92A3415,2024-12-25,13:00:00,Football,NFL,50.0,1568.0,4.0,KovZpZAFa6nA,Acrisure Stadium,Pittsburgh,100 Art Rooney Avenue,Pennsylvania,40.446093,-80.015884,Pittsburgh,Pittsburgh Steelers
k7vGFb6M6Lkqf,Preseason: New York Jets v. New York Giants,https://www.ticketmaster.com/preseason-new-york-jets-v-new-east-rutherford-new-jersey-08-24-2024/event/0000607DC77C6754,2024-08-24,19:30:00,Football,NFL,70.0,1050.0,2.0,KovZpakS7e,MetLife Stadium,East Rutherford,One MetLife Stadium Drive,New Jersey,40.81359,-74.074493,New York/Tri-State Area,New York Jets
